RT Levels 300

Level	Exp
-------------
1	1
2	2
3	6
4	22
5	51
6	100
7	173
8	274
9	410
10	583
11	800
12	1065
13	1382
14	1758
15	2195
16	2700
17	3277
18	3930
19	4666
20	5487
21	6400
22	7409
23	8518
24	9734
25	11059
26	12500
27	14061
28	15746
29	17562
30	19511
31	21600
32	23833
33	26214
34	28750
35	31443
36	34300
37	37325
38	40522
39	43898
40	47455
41	51200
42	55137
43	59270
44	63606
45	68147
46	72900
47	77869
48	83058
49	88474
50	94119
51	100000
52	106121
53	112486
54	119102
55	125971
56	133100
57	140493
58	148154
59	156090
60	164303
61	172800
62	181585
63	190662
64	200038
65	209715
66	219700
67	229997
68	240610
69	251546
70	262807
71	274400
72	286329
73	298598
74	311214
75	324179
76	337500
77	351181
78	365226
79	379642
80	394431
81	409600
82	425153
83	441094
84	457430
85	474163
86	491300
87	508845
88	526802
89	545178
90	563975
91	583200
92	602857
93	622950
94	643486
95	664467
96	685900
97	707789
98	730138
99	752954
100	776239
101	800000
102	824241
103	848966
104	874182
105	899891
106	926100
107	952813
108	980034
109	1007770
110	1036023
111	1064800
112	1094105
113	1123942
114	1154318
115	1185235
116	1216700
117	1248717
118	1281290
119	1314426
120	1348127
121	1382400
122	1417249
123	1452678
124	1488694
125	1525299
126	1562500
127	1600301
128	1638706
129	1677722
130	1717351
131	1757600
132	1798473
133	1839974
134	1882110
135	1924883
136	1968300
137	2012365
138	2057082
139	2102458
140	2148495
141	2195200
142	2242577
143	2290630
144	2339366
145	2388787
146	2438900
147	2489709
148	2541218
149	2593434
150	2646359
151	2700000
152	2754361
153	2809446
154	2865262
155	2921811
156	2979100
157	3037133
158	3095914
159	3155450
160	3215743
161	3276800
162	3338625
163	3401222
164	3464598
165	3528755
166	3593700
167	3659437
168	3725970
169	3793306
170	3861447
171	3930400
172	4000169
173	4070758
174	4142174
175	4214419
176	4287500
177	4361421
178	4436186
179	4511802
180	4588271
181	4665600
182	4743793
183	4822854
184	4902790
185	4983603
186	5065300
187	5147885
188	5231362
189	5315738
190	5401015
191	5487200
192	5574297
193	5662310
194	5751246
195	5841107
196	5931900
197	6023629
198	6116298
199	6209914
200	6304479
201	6400000
202	6496481
203	6593926
204	6692342
205	6791731
206	6892100
207	6993453
208	7095794
209	7199130
210	7303463
211	7408800
212	7515145
213	7622502
214	7730878
215	7840275
216	7950700
217	8062157
218	8174650
219	8288186
220	8402767
221	8518400
222	8635089
223	8752838
224	8871654
225	8991539
226	9112500
227	9234541
228	9357666
229	9481882
230	9607191
231	9733600
232	9861113
233	9989734
234	10119470
235	10250323
236	10382300
237	10515405
238	10649642
239	10785018
240	10921535
241	11059200
242	11198017
243	11337990
244	11479126
245	11621427
246	11764900
247	11909549
248	12055378
249	12202394
250	12350599
251	12500000
252	12650601
253	12802406
254	12955422
255	13109651
256	13265100
257	13421773
258	13579674
259	13738810
260	13899183
261	14060800
262	14223665
263	14387782
264	14553158
265	14719795
266	14887700
267	15056877
268	15227330
269	15399066
270	15572087
271	15746400
272	15922009
273	16098918
274	16277134
275	16456659
276	16637500
277	16819661
278	17003146
279	17187962
280	17374111
281	17561600
282	17750433
283	17940614
284	18132150
285	18325043
286	18519300
287	18714925
288	18911922
289	19110298
290	19310055
291	19511200
292	19713737
293	19917670
294	20123006
295	20329747
296	20537900
297	20747469
298	20958458
299	21170874
300	21384719
