RTレベル表 300
--------------
Level	Exp
1	0
2	1
3	5
4	21
5	50
6	99
7	172
8	273
9	409
10	582
11	799
12	1064
13	1381
14	1757
15	2194
16	2699
17	3276
18	3929
19	4665
20	5486
21	6399
22	7408
23	8517
24	9733
25	11058
26	12499
27	14060
28	15745
29	17561
30	19510
31	21599
32	23832
33	26213
34	28749
35	31442
36	34299
37	37324
38	40521
39	43897
40	47454
41	51199
42	55136
43	59269
44	63605
45	68146
46	72899
47	77868
48	83057
49	88473
50	94118
51	99999
52	106120
53	112485
54	119101
55	125970
56	133099
57	140492
58	148153
59	156089
60	164302
61	172799
62	181584
63	190661
64	200037
65	209714
66	219699
67	229996
68	240609
69	251545
70	262806
71	274399
72	286328
73	298597
74	311213
75	324178
76	337499
77	351180
78	365225
79	379641
80	394430
81	409599
82	425152
83	441093
84	457429
85	474162
86	491299
87	508844
88	526801
89	545177
90	563974
91	583199
92	602856
93	622949
94	643485
95	664466
96	685899
97	707788
98	730137
99	752953
100	776238
101	799999
102	824240
103	848965
104	874181
105	899890
106	926099
107	952812
108	980033
109	1007769
110	1036022
111	1064799
112	1094104
113	1123941
114	1154317
115	1185234
116	1216699
117	1248716
118	1281289
119	1314425
120	1348126
121	1382399
122	1417248
123	1452677
124	1488693
125	1525298
126	1562499
127	1600300
128	1638705
129	1677721
130	1717350
131	1757599
132	1798472
133	1839973
134	1882109
135	1924882
136	1968299
137	2012364
138	2057081
139	2102457
140	2148494
141	2195199
142	2242576
143	2290629
144	2339365
145	2388786
146	2438899
147	2489708
148	2541217
149	2593433
150	2646358
151	2699999
152	2754360
153	2809445
154	2865261
155	2921810
156	2979099
157	3037132
158	3095913
159	3155449
160	3215742
161	3276799
162	3338624
163	3401221
164	3464597
165	3528754
166	3593699
167	3659436
168	3725969
169	3793305
170	3861446
171	3930399
172	4000168
173	4070757
174	4142173
175	4214418
176	4287499
177	4361420
178	4436185
179	4511801
180	4588270
181	4665599
182	4743792
183	4822853
184	4902789
185	4983602
186	5065299
187	5147884
188	5231361
189	5315737
190	5401014
191	5487199
192	5574296
193	5662309
194	5751245
195	5841106
196	5931899
197	6023628
198	6116297
199	6209913
200	6304478
201	6399999
202	6496480
203	6593925
204	6692341
205	6791730
206	6892099
207	6993452
208	7095793
209	7199129
210	7303462
211	7408799
212	7515144
213	7622501
214	7730877
215	7840274
216	7950699
217	8062156
218	8174649
219	8288185
220	8402766
221	8518399
222	8635088
223	8752837
224	8871653
225	8991538
226	9112499
227	9234540
228	9357665
229	9481881
230	9607190
231	9733599
232	9861112
233	9989733
234	10119469
235	10250322
236	10382299
237	10515404
238	10649641
239	10785017
240	10921534
241	11059199
242	11198016
243	11337989
244	11479125
245	11621426
246	11764899
247	11909548
248	12055377
249	12202393
250	12350598
251	12499999
252	12650600
253	12802405
254	12955421
255	13109650
256	13265099
257	13421772
258	13579673
259	13738809
260	13899182
261	14060799
262	14223664
263	14387781
264	14553157
265	14719794
266	14887699
267	15056876
268	15227329
269	15399065
270	15572086
271	15746399
272	15922008
273	16098917
274	16277133
275	16456658
276	16637499
277	16819660
278	17003145
279	17187961
280	17374110
281	17561599
282	17750432
283	17940613
284	18132149
285	18325042
286	18519299
287	18714924
288	18911921
289	19110297
290	19310054
291	19511199
292	19713736
293	19917669
294	20123005
295	20329746
296	20537899
297	20747468
298	20958457
299	21170873
300	21384718
